Timestamp,Which Program did you take in Northeastern?*,Which course have you registered for?,Please select the course id for above course.,Which software is used for this course? ,Please provide website url for the above software download,Which Professional Certifications are available to master skills for this course?,Which online platform is available  to practice/study the course?,Course Rating ,ResourceType
2022/12/01 1:12:10 PM EST,Information Systems,Neural Modelling Methods & Tools,INFO 6106,Neural Designer,https://neural-designer.en.softonic.com/, Azure AI Engineer Associate: Certificate from Microsoft,"https://playground.tensorflow.org/#activation=tanh&batchSize=10&dataset=circle&regDataset=reg-plane&learningRate=0.03&regularizationRate=0&noise=0&networkShape=4,2&seed=0.85914&showTestData=false&discretize=false&percTrainData=50&x=true&y=true&xTimesY=false&xSquared=false&ySquared=false&cosX=false&sinX=false&cosY=false&sinY=false&collectStats=false&problem=classification&initZero=false&hideText=false",4,Free
2022/12/01 1:15:21 PM EST,Data Analytics Engineering,Data Science Engineering with Python,DAMG 6105,Python,https://www.python.org/downloads/,Certified Professional in Python Programming 1,https://www.online-python.com/,3,Free
2022/12/01 1:18:10 PM EST,Software Engineering Systems,Network Structures & Cloud Computing,CSYE 6225,Microsoft Azure,https://azure.microsoft.com/en-us/downloads/,AZ-900 Microsoft Azure Fundamentals,https://www.cloudzero.com/platform,5,Paid
2022/12/01 1:19:38 PM EST,Information Systems,Introduction to Python for Information Systems,INFO 5002,Python,https://www.python.org/downloads/,PCEP: Certified Entry-Level Python Programmer,https://www.online-python.com/,3,Free
2022/12/01 1:22:36 PM EST,Information Systems,Program Structure & Algorithm,INFO 6205,Visual studio,https://visualstudio.microsoft.com/,https://www.udemy.com/course/c-sharp-visual-studio-app-development-tutorial/?utm_source=adwords&utm_medium=udemyads&utm_campaign=DSA_Catchall_la.EN_cc.US&utm_content=deal4584&utm_term=_._ag_95911180068_._ad_532194018659_._kw__._de_c_._dm__._pl__._ti_dsa-406594358574_._li_1018127_._pd__._&matchtype=&gclid=Cj0KCQiAvqGcBhCJARIsAFQ5ke7ovkmZGP6viXnVpNKvNp9tcV5gwzYTx9JgJfdffcH9abPEuW-vtzwaAlhuEALw_wcB,Udemy,4,Free
2022/12/01 1:22:50 PM EST,Data Analytics Engineering,Big Data Systems & Intelligence Analytics,DAMG 7245,Apache Hadoop,https://spark.apache.org/downloads.html,Data Analytics certificate,https://powerbi.microsoft.com/en-us/,4,Free
2022/12/01 1:24:35 PM EST,Software Engineering Systems,Operating Systems,CSYE 6230,Ubuntu,https://ubuntu.com/#download,Linux Fundamentals Certification Training,https://www.onworks.net/os-distributions/special-os,2,Paid
2022/12/01 1:26:30 PM EST,Information Systems,Advanced Database Management Systems,DAMG 7275,SQL Developer,https://www.oracle.com/database/sqldeveloper/technologies/download/,Data Analytics certificate,https://www.jdoodle.com/execute-sql-online,4,Free
2022/12/01 1:27:51 PM EST,Information Systems,Designing Advanced Data Architectures for Business Intelligence,DAMG 7370,Tableau,https://www.tableau.com/resource/business-intelligence,Professional Certificate in Database Management System Architecture,https://www.programiz.com/java-programming/online-compiler/,5,Free
2022/12/01 1:36:18 PM EST,Information Systems,Enterprise Software Design,CSYE 6220,"Spring MVC",https://www.jetbrains.com/idea/old/promo/?source=google&medium=cpc&campaign=11722572433&term=spring%20boot&content=602250096615&gclid=Cj0KCQiAvqGcBhCJARIsAFQ5ke6ABWUshgiN8JVKoaFmCXHVxQ5u5D-CZqj8Wp3CqgTYr1IBodquoj0aAjEZEALw_wcB,https://www.udemy.com/course/spring-boot-learn-spring-boot-from-scratch/?utm_source=adwords&utm_medium=udemyads&utm_campaign=DSA_Catchall_la.EN_cc.US&utm_content=deal4584&utm_term=_._ag_95911180068_._ad_532194018659_._kw__._de_c_._dm__._pl__._ti_dsa-449490803887_._li_9001979_._pd__._&matchtype=&gclid=Cj0KCQiAvqGcBhCJARIsAFQ5ke6M-TQZuAbxW2XULQvQ5iw-0T_y-Gi6qtVvPsUn-ZVpgJiX9PFAhg4aAqOkEALw_wcB,Leetcode,4,Paid 
2022/12/01 1:37:19 PM EST,Software Engineering Systems,Advanced Cloud Computing,CSYE 7125,Azure,https://azure.microsoft.com/en-us/,Microsoft Azure Administrator Certificate,Microsoft Azure,2,Paid
